0.2589514		321	261
0.2530196		321	266
0.2517273		305	259
0.2488609		308	263
0.243605		300	257
0.2428027		307	259
0.2714815		299	261
0.336846		305	259
0.4051375		296	260
0.4533965		294	258
0.4870919		289	256
0.4823926		286	255
0.4646158		277	252
0.4338631		275	254
0.4317187		275	254
0.3443		        220	256
0.2529831		225	257
0.1676263		225	256
0.2166116		221	256
0.3329946		113	255
0.4294834		202	254
0.4408634		216	252
0.4567206		215	108
0.4575003		233	107
0.4064737		179	115
0.3319715		225	120
0.2532508		228	125
0.1870753		234	137
0.2154068		229	141
0.3547806		228	143
0.4689353		233	145
0.4937087		229	147
0.4832995		231	147
0.4519157		232	149
0.3994683		231	148
0.3247927		233	145
0.2485503		228	143
0.1684358		226	142
0.2043972		217	143
0.3275992		212	140
0.4349919		207	136
0.4656419		204	135
0.4675791		200	137
0.4626576		201	138
0.432901		203	138
0.4080952		203	136
0.3386834		205	138
0.266104		207	139
0.1992642		207	139
0.190425		208	139
0.2913075		209	140
0.3884982		208	141
0.4235695		210	140
0.4391794		207	139
0.4253785		207	138
0.3919244		206	137
0.3489123		204	138
0.3065301		203	138
0.2573966		203	138
0.2054782		204	140
0.1955857		203	141
0.2355469		203	142
0.2545923		205	142
0.2593245		205	142
0.2596111		204	143
0.2562188		206	143
0.2551146		206	140
0.256196		206	140
0.2544046		207	141
0.2554331		208	142
0.2546857		208	145
0.252973		208	145
0.2534461		208	145
0.2528917		209	145
0.2525655		210	145

