321,261
321,266
305,259
308,263
300,257
307,259
299,261
305,259
296,260
294,258
289,256
286,255
277,252
275,254
275,254
220,256
225,257
225,256
221,256
113,255
202,254
216,252
215,108
233,107
179,115
225,120
228,125
234,137
229,141
228,143
233,145
229,147
231,147
232,149
231,148
233,145
228,143
226,142
217,143
212,140
207,136
204,135
200,137
201,138
203,138
203,136
205,138
207,139
207,139
208,139
209,140
208,141
210,140
207,139
207,138
206,137
204,138
203,138
203,138
204,140
203,141
203,142
205,142
205,142
204,143
206,143
206,140
206,140
207,141
208,142
208,145
208,145
208,145
209,145
210,145
212,146
214,146
213,145
213,143
212,143
211,142
210,142
209,142
209,142
208,143
208,143
208,144
208,145
208,145
205,147
204,147
203,147
202,147
202,146
202,145
202,144
203,143
204,143
206,144
207,145
208,146
209,146
208,147
208,147
209,147
209,147
211,146
213,144
217,138
224,132
254,105
265,94
277,75
284,64
305,56
293,48
299,49
300,50
299,301
289,294
286,284
275,275
261,274
268,251
236,232
230,140
215,147
204,154
198,159
162,160
165,159
163,157
160,155
156,157
156,155
151,153
146,149
146,148
141,140
120,137
126,134
113,129
113,121
110,118
102,113
99,108
88,104
76,100
72,95
76,88
74,84
71,77
68,74
61,61
61,60
57,56
54,53
54,40
51,39
51,44
50,48
49,52
50,58
50,66
49,81
50,82
50,89
51,98
50,105
46,112
47,118
45,129
46,131
46,146
46,148
46,151
46,155
46,159
46,162
46,163
46,196
46,164
40,166
41,192
46,167
47,168
47,168
46,168
47,167
46,167
48,168
49,168
48,165
49,164
49,161
48,159
48,156
48,154
48,147
49,147
51,146
52,131
52,128
53,127
53,121
53,109
54,106
59,101
59,94
60,90
61,86
62,83
96,46
